시설명,시설유형,도로명 주소,lat,lon,행정구역
부평의료복지요양원,노인의료복지시설,"인천광역시 부평구 부평대로51번길 7, 9층, 10층 (부평동, 제이원부평메디피아)",37.49589003,126.722149,부평구
부평재가노인지원서비스센터,재가노인복지시설,"인천광역시 부평구 창휘로10번길 22, 3층 302호 (부평동)",37.48381346,126.7119296,부평구
부평재활요양원,노인의료복지시설,인천광역시 부평구 주부토로66번길 24-4 (부평동),37.50073215,126.7266581,부평구
부평한아름재가센터,재가노인복지시설,"인천광역시 부평구 청중로 81, 201-2호 (청천동)",37.51765359,126.7067447,부평구
부평행복마지요양원,노인의료복지시설,인천광역시 부평구 항동로75번길 5 (일신동),37.48216651,126.7414002,부평구
부흥더케어 주간보호센터,재가노인복지시설,"인천광역시 부평구 장제로 153, 1201호 (부평동)",37.49923837,126.7301893,부평구
부흥더케어요양원,노인의료복지시설,"인천광역시 부평구 장제로 153, 12·13층 (부평동)",37.49923837,126.7301893,부평구
부흥요양원,노인의료복지시설,"인천광역시 부평구 장제로 153, 1401호 (부평동)",37.49923837,126.7301893,부평구
사랑나눔재가복지센터,재가노인복지시설,"인천광역시 부평구 안남로 415, 405호 (청천동)",37.51996057,126.710076,부평구
사랑드림요양원,노인의료복지시설,"인천광역시 부평구 부평북로 446, 601,702호 (삼산동, 우리빌딩)",37.5217208,126.7429992,부평구
사랑의 요양원,노인의료복지시설,"인천광역시 부평구 부흥로 336 (부평동, 1층, 3-7층)",37.49784108,126.7292856,부평구
사랑의 요양원 재가복지센터,재가노인복지시설,"인천광역시 부평구 대정로 92, 1층 (부평동)",37.49183291,126.7286071,부평구
사랑의요양원 주야간보호센터,재가노인복지시설,"인천광역시 부평구 부흥로 336, 2층 (부평동)",37.49784108,126.7292856,부평구
사랑의요양원3호점,노인의료복지시설,인천광역시 부평구 대정로 92 (부평동),37.49183291,126.7286071,부평구
사랑채요양원,노인의료복지시설,"인천광역시 부평구 체육관로 18, 1101호 (삼산동)",37.50836669,126.7336316,부평구
산곡기쁨주야간어르신복지센터,재가노인복지시설,"인천광역시 부평구 안남로 181, 2~3층 (산곡동)",37.49897153,126.7080506,부평구
삼산이화 재가노인복지센터,재가노인복지시설,"인천광역시 부평구 영성서로 13, 1층 (삼산동)",37.51941085,126.7426872,부평구
새봄방문요양센터,재가노인복지시설,"인천광역시 부평구 수변로64번길 8-7, 1층 102호 (부개동)",37.49192333,126.7412706,부평구
새빛재가노인복지센터,재가노인복지시설,"인천광역시 부평구 충선로 191, 2층 2호 (부개동)",37.50640874,126.7359041,부평구
생생요양원,노인의료복지시설,"인천광역시 부평구 장제로 361, 401호 (갈산동)",37.51794589,126.7320672,부평구
샤미나드의 집,노인의료복지시설,인천광역시 부평구 마장로 375 (산곡동),37.51189078,126.7029757,부평구
샬롬 재가노인복지센터,재가노인복지시설,"인천광역시 부평구 백범로442번길 57, 201호 (십정동)",37.47071725,126.7024772,부평구
석양재가노인복지센터,재가노인복지시설,"인천광역시 부평구 동수로 163, 제1동호 (부개동)",37.48571986,126.7366368,부평구
섬김요양원,노인의료복지시설,인천광역시 부평구 장제로 126 (부평동),37.49664788,126.7306063,부평구
소금재가복지센터,재가노인복지시설,"인천광역시 부평구 백범로488번길 20, 102호 (십정동)",37.47023752,126.6981783,부평구
소나무요양원,노인의료복지시설,인천광역시 부평구 평천로142번길 50 (청천동),37.51769799,126.7058616,부평구
송암노인요양원,노인의료복지시설,인천광역시 부평구 일신로 25 (일신동),37.48304718,126.7462699,부평구
순수재가노인복지센터,재가노인복지시설,"인천광역시 부평구 부평북로 123, 상가동 2층 201호 (청천동, 무지개아파트)",37.52328406,126.706659,부평구
스마일시니어 성모자애 재가방문요양센터,재가노인복지시설,"인천광역시 부평구 육동로 14, 201호 (부평동)",37.48650416,126.7249207,부평구
신명요양원,노인의료복지시설,인천광역시 부평구 경인로 749 (십정동),37.47695509,126.7084859,부평구
신이랑재가복지센터,재가노인복지시설,"인천광역시 부평구 부평대로 24, 802호 (부평동)",37.49355987,126.7233081,부평구
엄마아빠요양센터,재가노인복지시설,"인천광역시 부평구 경인로 858, 206호 (부평동, 상가동)",37.48372668,126.7155492,부평구
연세노인전문요양원,노인의료복지시설,인천광역시 부평구 대보로12번길 17-15 (삼산동),37.5189289,126.74058,부평구
열우물 숲속 실버벨요양원,노인의료복지시설,인천광역시 부평구 함봉로42번길 46 (십정동),37.48380486,126.6947095,부평구
오셀복지요양원,노인의료복지시설,"인천광역시 부평구 마장로 75, 2,3층 (십정동)",37.48548823,126.7076946,부평구
온정 데이케어 주야간보호센터,재가노인복지시설,"인천광역시 부평구 세월천로 34, 213호, 404호 (청천동)",37.51326218,126.7056101,부평구
요셉의집,노인주거복지시설,인천광역시 부평구 장제로 372 (삼산동),37.51814412,126.7337494,부평구
원케어재가방문요양센터,재가노인복지시설,"인천광역시 부평구 장제로222번길 17, 1층 103호 (부개동)",37.50533303,126.7322125,부평구
유케어통합돌봄센터,재가노인복지시설,인천광역시 부평구 영성중로 33 (삼산동),37.51935393,126.744962,부평구
은빛요양원,노인의료복지시설,"인천광역시 부평구 화랑로 14, 501, 601호 (산곡동)",37.48731583,126.7059105,부평구
은성재가복지센터,재가노인복지시설,"인천광역시 부평구 안남로 260, 1204호 (산곡동)",37.50525989,126.7121044,부평구
은혜공동생활가정,노인의료복지시설,인천광역시 부평구 마장로 175 (산곡동),37.49380367,126.7034805,부평구
은혜재가복지센터,재가노인복지시설,"인천광역시 부평구 부흥로293번길 30, 302호 (부평동)",37.4999636,126.7247373,부평구
인천광역시 사회서비스원 인복드림종합재가센터 부평센터,재가노인복지시설,"인천광역시 부평구 마장로410번길 6, 3층 (청천동)",37.51452889,126.7044458,부평구
인천이화재가노인복지센터,재가노인복지시설,"인천광역시 부평구 장제로 153, 1108호 (부평동)",37.49923837,126.7301893,부평구
인천프라임요양원,노인의료복지시설,인천광역시 부평구 영성중로 31 (삼산동),37.51908294,126.7448986,부평구
자경요양원,노인의료복지시설,"인천광역시 부평구 체육관로 30, 1001호 (삼산동, 이리옴프라자1)",37.50830733,126.7348202,부평구
정다운노인요양센터,재가노인복지시설,"인천광역시 부평구 굴포로7번길 31, 2층 (갈산동)",37.51332435,126.7229266,부평구
정담요양원,노인의료복지시설,"인천광역시 부평구 부흥로294번길 4, 7층 (부평동)",37.49822869,126.7242805,부평구
정드림요양원,노인의료복지시설,"인천광역시 부평구 부흥로 412, 3-5층 (부개동)",37.49739845,126.7375938,부평구
조은요양원,노인의료복지시설,"인천광역시 부평구 부평북로 399, 4~5층 (삼산동)",37.5227218,126.7380048,부평구
주식회사 위코리아,재가노인복지시설,"인천광역시 부평구 원적로471번길 26-6, 1층 (부평동)",37.50426708,126.7194164,부평구
즐거운요양원,노인의료복지시설,"인천광역시 부평구 체육관로 34, 5,10층 501-1,1003호 (삼산동, 이리옴프라자2차)",37.50827831,126.7354767,부평구
지평재가방문요양센터,재가노인복지시설,"인천광역시 부평구 체육관로 14, 1001호 (삼산동)",37.50837889,126.7330885,부평구
지평재활요양원,노인의료복지시설,"인천광역시 부평구 체육관로 14, 1001호 (삼산동)",37.50837889,126.7330885,부평구
참빛요양원,노인의료복지시설,"인천광역시 부평구 주부토로 261, 304호 (갈산동, 신협빌딩)",37.51837584,126.7267998,부평구
참사랑노인복지센터,재가노인복지시설,"인천광역시 부평구 세월천로 41, 2층 (청천동)",37.51258489,126.7046491,부평구
참삶요양원,노인의료복지시설,"인천광역시 부평구 장제로 170, 5층 501호 (부평동)",37.50048239,126.7310843,부평구
충선로재가복지센터,재가노인복지시설,"인천광역시 부평구 충선로 71, 2층 (부개동)",37.49564523,126.7354181,부평구
팔복요양원,노인의료복지시설,"인천광역시 부평구 경인로999번길 1, 2~3층 (부평동)",37.48749432,126.7306932,부평구
평화돌봄주야간보호센터,재가노인복지시설,"인천광역시 부평구 경인로1104번길 15, 2층 (일신동)",37.48485965,126.7421578,부평구
플러스에이새희망재가노인복지센터,재가노인복지시설,"인천광역시 부평구 수변로9번길 61, 301호 (부개동)",37.48766919,126.7360839,부평구
하나실버케어,노인의료복지시설,"인천광역시 부평구 길주로 639 (삼산동, 현대아이프라자 6,7,9층)",37.50725753,126.7335485,부평구
하선노인전문요양원,노인의료복지시설,"인천광역시 부평구 세월천로 34, 401호 (청천동, 대우프라자)",37.51326218,126.7056101,부평구
하이노인주간보호센터,재가노인복지시설,"인천광역시 부평구 원적로 469, 4층 (부평동, 성훈빌딩)",37.50366516,126.718748,부평구
한사랑요양원1호,노인의료복지시설,"인천광역시 부평구 동수천로 132, 6층 (부개동, 부개빌딩)",37.49716085,126.7372812,부평구
한사랑주야간보호센터,재가노인복지시설,"인천광역시 부평구 동수천로 132, 6층 (부개동)",37.49716085,126.7372812,부평구
행복나무재가노인복지센터,재가노인복지시설,"인천광역시 부평구 부평북로 313, 202호 (갈산동)",37.5230742,126.7288469,부평구
행복노인전문요양원,노인의료복지시설,"인천광역시 부평구 화랑로 14 (산곡동,3층,4층)",37.48731583,126.7059105,부평구
행복플러스재가복지센터,재가노인복지시설,"인천광역시 부평구 부흥로375번길 3, 4층 (부평동)",37.49812249,126.73368,부평구
행복한요양원,노인의료복지시설,"인천광역시 부평구 여우재로26번길 39-1, 1~4층 (십정동)",37.48266683,126.6920156,부평구
현대요양원,노인의료복지시설,"인천광역시 부평구 경원대로 1286 (부평동, 메디아나센타 7층)",37.49042616,126.7118501,부평구
협성양로원,노인주거복지시설,인천광역시 부평구 화랑로 70 (산곡동),37.4894414,126.7033636,부평구
협성요양원,노인의료복지시설,인천광역시 부평구 화랑로 70 (산곡동),37.4894414,126.7033636,부평구
호별노인복지케어센터,재가노인복지시설,인천광역시 부평구 주부토로 92 (부평동),37.50312845,126.7257806,부평구
홈스재가복지센터,재가노인복지시설,"인천광역시 부평구 부흥로123번길 34, 5층 502호 (산곡동)",37.50008077,126.7056679,부평구
효담요양복지센터,재가노인복지시설,"인천광역시 부평구 부평대로 24, 1307호 (부평동)",37.49355987,126.7233081,부평구
효도마을요양원,노인의료복지시설,"인천광역시 부평구 충선로209번길 21, 601호 (삼산동)",37.50790497,126.7351098,부평구
효드림노인복지센터,재가노인복지시설,"인천광역시 부평구 마장로 338, 3층 (산곡동, 남양빌딩)",37.50808871,126.7038219,부평구
효사랑요양원 1,노인의료복지시설,"인천광역시 부평구 충선로203번길 16, 8층 (삼산동)",37.50755665,126.7353984,부평구
효사랑요양원 2,노인의료복지시설,"인천광역시 부평구 충선로203번길 16, 8층 (삼산동)",37.50755665,126.7353984,부평구
청라백세마을,노인주거복지시설,인천광역시 서구 로봇랜드로249번길 14,37.52910944,126.6100343,서구
예향원,노인주거복지시설,인천광역시 서구 세자봉로76번길 11,37.60987758,126.6515481,서구
마리스텔라,노인주거복지시설,인천광역시 서구 심곡로100번길 31,37.54227375,126.6855042,서구
더시그넘하우스 청라,노인주거복지시설,인천광역시 서구 담지로 60,37.5354712,126.6610292,서구
내리요양원,노인의료복지시설,인천광역시 서구 봉수대로1394번길 12,37.59678296,126.6523272,서구
인천신생요양원,노인의료복지시설,인천광역시 서구 드림로 284-4,37.58312518,126.6706201,서구
인천천사요양원,노인의료복지시설,인천광역시 서구 드림로 284-6,37.58288774,126.6709653,서구
낙원요양원,노인의료복지시설,인천광역시 서구 완정로10번길 6-7,37.59487164,126.6737991,서구
서천노인요양원,노인의료복지시설,인천광역시 서구 심곡로132번길 22,37.54553472,126.6845891,서구
인천 부모섬김요양원,노인의료복지시설,인천광역시 서구 검단로 504,37.60272694,126.6601514,서구
인천원당 사랑마루,노인의료복지시설,인천광역시 서구 원당대로 853,37.59400911,126.6964593,서구
성모요양원,노인의료복지시설,인천광역시 서구 심곡로100번길 31,37.54227375,126.6855042,서구
하나요양원,노인의료복지시설,인천광역시 서구 승학로197번길 20-9,37.54144052,126.6715084,서구
참사랑요양원,노인의료복지시설,인천광역시 서구 검단로 505,37.60330621,126.6601901,서구
연희요양원,노인의료복지시설,인천광역시 서구 탁옥로 88,37.54350353,126.6792418,서구
지구촌요양원,노인의료복지시설,인천광역시 서구 검단로 505,37.60330621,126.6601901,서구
해피실버요양원,노인의료복지시설,인천광역시 서구 검단로502번길 18,37.60143374,126.6607088,서구
미래복지요양센터,노인의료복지시설,인천광역시 서구 드림로 227,37.58403852,126.6641633,서구
효담요양원,노인의료복지시설,인천광역시 서구 완정로 163,37.60170647,126.6580876,서구
도란도란요양원,노인의료복지시설,인천광역시 서구 검단로 531,37.60425564,126.662755,서구
반딧불노인요양원,노인의료복지시설,인천광역시 서구 가정로 186-3,37.50139989,126.6722656,서구
가현요양원,노인의료복지시설,인천광역시 서구 완정로 19,37.59486178,126.671738,서구
주은요양원,노인의료복지시설,인천광역시 서구 신진말로 26,37.49293874,126.6784919,서구
국제메디칼요양원,노인의료복지시설,인천광역시 서구 탁옥로 104,37.5434517,126.6810324,서구
두드림요양전문센터,노인의료복지시설,인천광역시 서구 봉오재3로 116,37.5271215,126.6726405,서구
검단희망요양원,노인의료복지시설,인천광역시 서구 완정로 159,37.60153952,126.6584302,서구
꽃마루요양원,노인의료복지시설,인천광역시 서구 봉화로223번안길 5,37.61250547,126.6370767,서구
효사랑요양원,노인의료복지시설,인천광역시 서구 완정로 19,37.59486178,126.671738,서구
아름다운 요양원,노인의료복지시설,인천광역시 서구 가정로 230,37.50522592,126.6725013,서구
그레이스힐 요양원,노인의료복지시설,인천광역시 서구 검단로623번길 17,37.61007339,126.6687889,서구
다온실버케어요양원,노인의료복지시설,인천광역시 서구 고산후로 97,37.59249095,126.6988859,서구
해피섬김요양원,노인의료복지시설,인천광역시 서구 검단로502번길 18,37.60143374,126.6607088,서구
참조은요양원,노인의료복지시설,인천광역시 서구 신진말로 39,37.49341381,126.6801731,서구
시온의빛 요양원,노인의료복지시설,인천광역시 서구 원당대로820번1길 13,37.59349423,126.6913284,서구
에덴사랑의집,노인의료복지시설,인천광역시 서구 고산후로95번길 10,37.5925401,126.6981269,서구
길요양원,노인의료복지시설,인천광역시 서구 고산후로 190,37.60070183,126.6990615,서구
검단햇살요양원,노인의료복지시설,인천광역시 서구 원당대로 853,37.59400911,126.6964593,서구
검단메디컬요양원,노인의료복지시설,인천광역시 서구 완정로 179,37.60227972,126.6565195,서구
인혜요양원,노인의료복지시설,인천광역시 서구 서곶로 270-1,37.54153796,126.6772411,서구
간호사랑요양원,노인의료복지시설,인천광역시 서구 탁옥로 37,37.54415472,126.6736678,서구
가나요양원,노인의료복지시설,인천광역시 서구 연희로42번길 14,37.55057412,126.6724916,서구
로뎀애요양원,노인의료복지시설,인천광역시 서구 심곡로208번길 23,37.55147406,126.6849521,서구
청라더사랑 요양원,노인의료복지시설,인천광역시 서구 중봉대로586번길 15,37.53210778,126.651382,서구
푸른솔요양원,노인의료복지시설,인천광역시 서구 승학로 577,37.56739667,126.6832306,서구
서구삼성요양원,노인의료복지시설,인천광역시 서구 건지로284번길 5,37.49872492,126.6738691,서구
두드림요양원,노인의료복지시설,인천광역시 서구 심곡로 78,37.54186664,126.678232,서구
고은빛요양원,노인의료복지시설,인천광역시 서구 대촌로 11,37.59506281,126.6321213,서구
굿모닝재활요양원,노인의료복지시설,인천광역시 서구 원당대로 865,37.59388514,126.6977602,서구
노블레스요양원,노인의료복지시설,인천광역시 서구 오류로26번길 9,37.59648639,126.630304,서구
늘사랑요양원,노인의료복지시설,인천광역시 서구 청라커낼로 280,37.53340767,126.6449479,서구
노엘요양원,노인의료복지시설,인천광역시 서구 단봉로 191,37.59697806,126.6305493,서구
벧엘요양원,노인의료복지시설,인천광역시 서구 완정로 144,37.60122147,126.6602088,서구
다솔요양원,노인의료복지시설,인천광역시 서구 원당대로819번길 7-3,37.59470483,126.6920653,서구
클래상스요양원,노인의료복지시설,인천광역시 서구 서달로20번길 7,37.50035935,126.6790363,서구
미소인요양원,노인의료복지시설,인천광역시 서구 서달로 14-7,37.49999766,126.6788316,서구
검단진노인요양시설,노인의료복지시설,인천광역시 서구 마전로115번길 2-6,37.60854437,126.6684098,서구
한사랑요양원,노인의료복지시설,인천광역시 서구 심곡로208번길 14,37.5512891,126.6838106,서구
행복드림요양원,노인의료복지시설,인천광역시 서구 연희로39번길 16,37.54799052,126.6724598,서구
행복요양원,노인의료복지시설,인천광역시 서구 승학로 577,37.56739667,126.6832306,서구
검암요양원,노인의료복지시설,인천광역시 서구 승학로 528,37.5656444,126.6783574,서구
늘편한요양원,노인의료복지시설,인천광역시 서구 도요지로42번길 21-1,37.55711832,126.655308,서구
드림숲요양원,노인의료복지시설,인천광역시 서구 단봉로 183,37.59675998,126.6313527,서구
더나은재활요양원,노인의료복지시설,인천광역시 서구 장고개로 277-1,37.48889451,126.6825288,서구
검단 다은요양원,노인의료복지시설,인천광역시 서구 고산후로95번길 28,37.59271037,126.6959806,서구
샬롬요양원,노인의료복지시설,인천광역시 서구 검단로 474,37.60164083,126.6571073,서구
온누리노인요양원,노인의료복지시설,인천광역시 서구 고산로45번길 18,37.59740417,126.6997176,서구
다정요양원,노인의료복지시설,인천광역시 서구 고산후로95번안길 21,37.59289296,126.6972606,서구
가현재활요양원,노인의료복지시설,인천광역시 서구 완정로 70,37.59801105,126.6673174,서구
해오름재활요양원,노인의료복지시설,인천광역시 서구 완정로 70,37.59801105,126.6673174,서구
사랑재활요양원,노인의료복지시설,인천광역시 서구 완정로 70,37.59801105,126.6673174,서구
노인요양시설 혜움,노인의료복지시설,인천광역시 서구 심곡로56번길 17,37.54062514,126.6759835,서구
두담노인전문요양원,노인의료복지시설,인천광역시 서구 대촌로 9,37.59489654,126.6320748,서구
