,식당명,행정구역,도로명 주소,lat,lon,식당 설명,영업 시간,top_category,sub_category
256,피제리아 일피노 인천 송도점,연수구,인천광역시 연수구 컨벤시아대로 50 푸르지오월드마크,37.3977486,126.6516916,"피제리아 일피노 인천 송도점은 인천 송도국제도시에 있다. 매장은 아파트 상가 2층에 자리 잡고 있다. 식당 내부는 층고가 높고 이국적인 분위기의 원목으로 인테리어가 되어 있다. 이곳의 대표 메뉴는 고추장 새우 로제 파스타, 비프루꼴라 피자, 그린 샐러드, 봉골레다. 식사를 주문하면 식전 빵이 애피타이저로 제공된다. 이외 메뉴는 리코타치즈 샐러드, 카프레제, 버섯 관자 크림 리조또, 알리오 올리오, 바질페스토 새우오일 파스타 등 다양한 메뉴가 있다. 이곳은 내부가 넓고 메뉴가 테이블 형태가 다양해 가족 모임, 회식 장소로도 적합하다. 반려견 동반이 가능하다. 식당 인근에는 대형 쇼핑센터, 송도MTB파크, 송도센트럴파크 등이 있어 다양한 연계 관광을 할 수 있다.<br>※ 반려동물 동반 가능",,양식,피자
257,섬고기,강화군,인천광역시 강화군 길상면 삼랑성길 4,37.63921213,126.4913579,"1972년 농장과 함께 직판장 형태의 정육점과 식당으로 문을 열어 현재 2대째 운영중인 곳으로서, 생산과 유통의 경험과 먹거리에 대한 열정으로 ''맛''에 중점을 두고 저급 거세우가 아닌 최상급 3~4년 生 한우 암소와 1등급 이상의 암퇘지만을 제공하고 있다. 직접 키워 말린 태양초를 사용해 만든 김치와, 강화 섬 쌀을 사용하여 믿을 수 있는 먹거리를 제공한다.<br>",10:00 ~ 20:00,한식,고기
258,우순임원조할머니쭈꾸미,동구,인천광역시 동구 제물량로 342,37.48104393,126.6207477,"우순임원조할머니쭈꾸미는 경인선 인천종점인 인천역에서 걸어서 10분 거리 쭈구미골목에 위치해 있다. 60년 넘게 음식점을 운영해 왔으며, 국내산 100% 쭈꾸미를 이용하여 요리를 한다. 가장 인기 있는 메뉴는 쭈꾸미볶음인데, 통통한 쭈꾸미를 매콤한 양념에 버무리고 미나리를 얹어 내온다. 다 먹고 나면 남은 양념에 밥을 볶아 먹을 수 있는데, 이것이 별미이다.",11:00~21:00,한식,탕
259,진천토종순대,서구,인천광역시 서구 신진말로 37 현신빌딩,37.49339354,126.6797003,"진천토종순대는 인천지하철 2호선 인천가좌역 1번 출구 인근 신진말로 건지공원 옆에 있는 순댓국 맛집이다. 테이블은 좌식이 아닌 입식으로 되어있다. 이곳의 시그니처메뉴는 순대국밥이다. 매운맛을 취향대로 조절해서 먹을 수 있다. 함께 같이 나오는 반찬은 김치, 깍두기, 청양고추다. 김치는 약간 단 맛이 나는데 순댓국과 잘 어울린다. 이 외에도 모둠전골, 곱창전골, 순대곱창볶음 등을 맛볼 수 있다.",10:00~21:40 (브레이크타임 15:30~17:00)<br>※ 평일은 브레이크타임 없음,기타,분식
260,영종제빵소,중구,인천광역시 중구 해맞이길 7,37.47647064,126.5299561,"영종 제빵소는 인천광역시 중구 운남동에 있는 베이커리 카페로 영종에서 제일가는 빵맛을 자랑하는 곳이다. 영종하늘도시 8호 공원과 가까워 바다 조망을 할 수 있는 것도 영종 제빵소의 장점이다.<br>1층은 빵 진열대와 주문하는 곳이 있고, 2층은 플랜테리어, 3층은 모던스타일 룸을 갖춰 놓았다. 루프탑에서는 인천대교 아래로 지는 노을을 바라보며 여유를 즐길 수 있다. 층마다 다른 분위기라 좋고 엘리베이터가 있어서 이동이 편리하다. <br>가까운 곳에 씨싸이드 파크가 있어 염전을 구경할 수 있고 영종둘레길 3코스(힐링바닷길) 전망대도 연계해서 둘러보기 좋다.<br>※ 반려동물 동반 불가",10:00~21:00,디저트,카페/빵
261,바다쏭,연수구,인천광역시 연수구 능허대로 16,37.42948075,126.6361727,카페 바다쏭은 인천광역시 연수구 옥련동에 있는 베이커리 카페이다. 송도 신도시 입구 아암대로 인천 둘레길 10코스에 있는 곳으로 주차장이 넓다. 카페는 한옥 형태의 한옥관과 현대적인 감각이 더해진 모던관으로 나누어지는데 취향에 따라 선택할 수 있고 공연 시간을 확인하고 가면 모던관에서 펼쳐지는 라이브도 무료로 즐길 수 있다. 정원이 넓어 산책할 수 있고 미니 폭포와 다양한 식물과 조형물들이 많아 사진 찍기도 좋다. 당일 생산 당일 판매를 원칙으로 하는 베이커리가 인기이고 세계 챔프 로스팅 커피로 맛과 향 모두 진하다. 도심 속에서 낙조를 즐기며 커피 한 잔의 여유를 즐길 수 있는 카페로 야외 테라스 이용 시 반려동물과 함께 입장할 수도 있다. <br>※ 반려동물 동반 가능(야외 테라스 이용 시),09:00~22:00,디저트,카페/빵
262,청해김밥,미추홀구,인천광역시 미추홀구 경인로 414,37.45791999,126.6860091,청해김밥은 인천광역시 미추홀구 주안동에 있는 오래된 분식 전문점이다. 대표 메뉴는 계란말이 김밥이다. 계란말이 김밥은 김 위에 달걀을 말아 만든 김밥이다. 이곳은 24시간 운영으로 음식점 내에서 식사도 가능하고 포장도 가능하다. 미리 전화로 주문해놓고 방문하면 음식을 빨리 받을 수 있다. 도시락 주문은 사전에 예약해야 한다. 미추홀구에서 가장 유명한 관광지인 수봉공원이 자동차 5분 거리에 있어 연계 관광이 가능하다.<br>※ 반려동물 동반 불가,00:00~24:00,기타,분식
263,사곶냉면,남동구,인천광역시 남동구 논고개로 253-2,37.41335087,126.7255761,"사곶냉면은 인천광역시 남동구 도림동의 주적 공원 인근에 있다. 가장 가까운 지하철역은 수인·분당선 인천논현역인데 도보로 20분 정도 소요된다. 연예인도 다녀간 맛집으로 이곳에는 특별한 메뉴가 있다. 냉면에 까나리 액젓을 넣어 먹는 백령도식 까나리 냉면이다. 반찬으로는 섞박지와 배추김치가 나온다. 대표 메뉴는 물냉면, 비빔냉면이며 겨울에는 계절 메뉴로 칼국수를 맛볼 수 있다. 인근에 오봉산이 있으며 자동차로 10분 정도 이동하면 싱싱한 해산물을 파는 소래포구가 있어 연계 관광이 가능하다.<br>※ 반려동물 동반 불가",11:00~20:00,한식,면
264,지금이곳,중구,인천광역시 중구 운남로82번길 40,37.48613909,126.5370941,"인천광역시 중구 영종동에 있는 베이커리 카페이다. 잔디가 깔린 예쁜 정원이 있고 미술관도 있다. 머그컵 원두 쿠키, 굿즈를 전시한 판매대도 갖춰져 있다. 내부는 넓고 층고는 높아서 시원한 느낌이고 막힌 곳 없는 전망 또한 이곳의 장점이다. 루프탑에 전등이 들어오면 인생 사진을 남길 수 있다. 넉넉한 주차장이 있어 주차 걱정 없이 방문할 수 있는 것도 장점이고 깔끔한 실내 디자인에 다양한 형태의 좌석이 있어 연인이나 가족, 단체 모임도 할 수 있지만 반려동물은 출입할 수 없다.",10:00~21:00,디저트,카페/빵
265,청라어보,서구,인천광역시 서구 중봉대로586번길 9-23,37.53273848,126.6524767,"청라어보는 청라1동 행정복지센터 인근에 위치한 한식당이다. 이곳은 청라커낼웨이 수로 변에 있지만 식당 앞에 전용 주차장이 마련되어 도착 후 바로 주차할 수 있다. <br>청라어보에는 다양한 생선요리와 해물요리가 있다. 밑반찬은 잡채, 고사리나물, 샐러드, 김치, 장국 등 7가지의 반찬이 제공된다. 공깃밥은 추가 요금을 지불하면 돌솥밥으로 변경해 준다. 식당 입구 쪽에서는 꼬막, 생선구이, 생선조림 밀키트를 판매하고 있다.",11:00~22:00(라스트오더 21:00),한식,고기
